"Story","Title","Result","Date","Stability","Duration (s)"
"User able to see Home Page","POST LOGIN  success to login with valid data","SUCCESS","2023-05-06T23:01:26.9563346+07:00[Asia/Jakarta]","0.0","8.82"
"User able to see Home Page","POST LOGIN should failed to login with invalid data","SUCCESS","2023-05-06T23:01:35.8633524+07:00[Asia/Jakarta]","0.0","1.95"
"User able to see Home Page","POST REGISTER success to create account with valid input","SUCCESS","2023-05-06T23:01:37.8931022+07:00[Asia/Jakarta]","0.0","1.11"
"User able to see Home Page","POST REGISTER failed to create account with empty fullname","SUCCESS","2023-05-06T23:01:39.0304268+07:00[Asia/Jakarta]","0.0","0.56"
"As user I want to test index page hello","GET HELLO  want to test hello index page","SUCCESS","2023-05-06T23:01:39.6318948+07:00[Asia/Jakarta]","0.0","3.46"
"As user i want to test order on website","POST ORDER I want to make a new order","SUCCESS","2023-05-06T23:01:43.112161+07:00[Asia/Jakarta]","0.0","0.79"
"As user i want to test order on website","GET - As a user I want to list all my order","SUCCESS","2023-05-06T23:01:43.9276875+07:00[Asia/Jakarta]","0.0","0.64"
"Product Category","POST category want to create a new category","SUCCESS","2023-05-06T23:01:44.5872461+07:00[Asia/Jakarta]","0.0","0.42"
"Product Category","GET CATEGORY get all categories","SUCCESS","2023-05-06T23:01:45.0450713+07:00[Asia/Jakarta]","0.0","0.86"
"Product Data","POST PRODUCT create a new product","SUCCESS","2023-05-06T23:01:45.9368541+07:00[Asia/Jakarta]","0.0","0.48"
"Product Data","GET - As a user I want to get all product","SUCCESS","2023-05-06T23:01:46.4438916+07:00[Asia/Jakarta]","0.0","0.71"
"Product Data","DELETE PRODUCT I want to delete a product","SUCCESS","2023-05-06T23:01:47.2053725+07:00[Asia/Jakarta]","0.0","0.51"
"Product Data","GET - As a user I want to see product comments","SUCCESS","2023-05-06T23:01:47.7417371+07:00[Asia/Jakarta]","0.0","0.42"
